lemma,forms,level,zh_core,story_example,popup_explanation
reveal,"reveal, reveals, revealed, revealing",L3,揭露；顯示原本不知道的事,"The message did not reveal the truth, but it gave her something real to follow.",使原本隱藏或不知道的資訊被知道
specific,specific,L3,特定的；明確的,"Was it an accident, or had someone left it there for a specific reason?",指某個明確、特定的人事物，而不是一般性的
prevent,"prevent, prevents, prevented, preventing",L3,阻止；防止,This should prevent anyone from finding out too early.,讓某件事不要發生；常見用法：prevent + 人/事 + from + V-ing
determine,"determine, determines, determined, determining",L3,確定；判定,"Although entering alone made her nervous, she wanted to determine why everyone seemed afraid of this room.",經過思考或查證後弄清楚、確定
observe,"observe, observes, observed, observing",L3,觀察；注意看,Mia stopped behind a wall and observed him carefully.,仔細看或注意某人／某事；故事中的 observed 對應 lemma observe
anxiety,anxiety,L3,焦慮；不安,The answer did nothing to reduce Mia's anxiety.,對可能發生的事情感到擔心、不安
identify,"identify, identifies, identified, identifying",L4,辨認；確認身分或特徵,"Mia tried to identify the person, but the hood covered most of the stranger's face.",根據特徵辨認出某人或某物是誰／是什麼
indication,"indication, indications",L4,跡象；指示,Maybe it was another indication that this was more than a joke.,顯示某件事可能是真的或正在發生的跡象
observation,"observation, observations",L4,觀察；觀察所得,That simple observation made her curious.,觀察這個動作，或觀察後得到的發現
mysterious,mysterious,L4,神祕的；難以解釋的,Whatever was happening at school was becoming more mysterious by the minute.,讓人無法立即理解、知道原因或真相的
